sequence,date,type,status,actualConversationPages,title,corePdfUrl,sourcePacketUrl,sourcePdfPages,readingPacketPages,actualConversationPacketPages,markerPage,pddReferences,publicStatementsSameDay,publicStatementsNearby,sourceCopies,strobeContext,naraSupport,frusSourceNote,compilerAction
"52","1997-03-21","Memcon","counted","6","Helsinki Private Dinner with President Boris Yeltsin","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-03-21-memcon-helsinki-private-dinner.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","128-133","318-324","318-323","97","","1997-03-21 (same day) The President's News Conference With President Boris Yeltsin of Russia in Helsinki [pp. 331-340] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331-2.pdf>; 1997-03-21 (same day) Exchange With Reporters on Greeting President Boris Yeltsin of Russia and President Martti Ahtisaari of Finland in Helsinki [pp. 330-331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg330-2.pdf>; 1997-03-21 (same day) Exchange With Reporters Prior to Discussions With President Boris Yeltsin of Russia in Helsinki [p. 331] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg331.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on European Security [pp. 343-344] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg343.pdf>; 1997-03-21 (same day) Joint Statement on United States-Russia Economic Initiative [pp. 344-346] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg344.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement Concerning the Anti-Ballistic Missile Treaty [pp. 341-342] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg341.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Chemical Weapons [pp. 342-343] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg342.pdf>; 1997-03-21 (same day) Russia-United States Joint Statement on Parameters on Future Reduction in Nuclear Forces [pp. 340-341] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg340.pdf>","","1KLOMwJsMKTaMp-3fsDHGk24zWvqLh6ou: 970321 815pm to 930pm Clinton and Yeltsin in Helsinki memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1KLOMwJsMKTaMp-3fsDHGk24zWvqLh6ou/view>","1997-03-20 (-1 days) CLINTON, YELTSIN PREPARE FOR SUMMIT TALKS <https://foia.state.gov/DOCUMENTS/FOIA_L_Oct2024/FL-2017-13804/DOC_0C09000062/C09000062.pdf>","1997-03-17 (-4 days) President Ulmanis letter on the upcoming Helsinki summit with Yeltsin <https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/7585709/42-t-7585709-20111037F-012-012-2015.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1609, Folder Title/Record ID 9702044, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"53","1997-05-27","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, May 27, 1997, Paris, France","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-05-27-memcon-45.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","143-150","325-333","325-332","137","","1997-05-27 (same day) Remarks at the Signing Ceremony for the NATO-Russia Founding Act in Paris, France [pp. 657-658] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg657.pdf>","","1VNFoDJYteyNDoWqrRuAWT8iLIAiHpFzh: 970527 Clinton and Yeltsin in Paris memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1VNFoDJYteyNDoWqrRuAWT8iLIAiHpFzh/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1623, Folder Title/Record ID 9703720, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"54","1997-06-20","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, June 20, 1997, Denver, Colorado","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-06-20-memcon-46.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","165-172","334-342","334-341","158","","1997-06-20 (same day) Exchange With Reporters Prior to Discussions With President Boris Yeltsin of Russia in Denver [pp. 770-772] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg770-2.pdf>; 1997-06-20 (same day) Remarks Prior to Discussions With President Jacques Chirac of France and an Exchange With Reporters in Denver [pp. 772-773] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg772.pdf>; 1997-06-20 (same day) Joint Statement by France, Russia, and the United States on the Nagorno- Karabakh Conflict [p. 776] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg776.pdf>; 1997-06-20 (same day) Letter to Congressional Leaders on the Deployment of United States Military Forces for Stabilization of the Balkan Peace Process [pp. 776-777] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg776-2.pdf>","1997-06-22 (+2 days) The President's News Conference in Denver [pp. 782-793] <https://www.govinfo.gov/content/pkg/PPP-1997-book1/pdf/PPP-1997-book1-doc-pg782.pdf>","1068D97hQCXClJSz5sIQkmPDuuW_yCf5K: 970620 Clinton and Yeltsin in Denver memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1068D97hQCXClJSz5sIQkmPDuuW_yCf5K/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1629, Folder Title/Record ID 9704607, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"55","1997-10-30","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, October 30, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-10-30-telcon-47.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","183-188","343-349","343-348","177","12:33; 12:52-1:21 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 64 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-008-003-2018.pdf>","","","1fT5AgUtzJunIagUVKSoKio6YudL2rLEx: 971030 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1fT5AgUtzJunIagUVKSoKio6YudL2rLEx/view>; C09000014: Memorandum of Telephone Conversation (Strobe FOIA copy of the October 30, 1997 telcon; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2024/FL-2017-13804/DOC_0C09000014/C09000014.pdf>","1997-10-30 (same day) Memorandum of Telephone Conversation <https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2024/FL-2017-13804/DOC_0C09000014/C09000014.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 1651, Folder Title/Record ID 9707450, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"56","1997-11-16","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, November 16, 1997, Malibu, California","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-16-telcon-48.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","206-208","350-353","350-352","200","","","","1c64v-q0n_DF-5kg16qrNjXxT6o4O7iEZ: 971116 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1c64v-q0n_DF-5kg16qrNjXxT6o4O7iEZ/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1654, Folder Title/Record ID 9707804, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"57","1997-11-22","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, November 22, 1997, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1997-11-22-telcon-49.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","218-223","354-360","354-359","213","8:40; 9:00-9:43 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 48 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-008-004-2018.pdf>","","","1PgRJZpQqXva-Kp6ogOhraQElJZl0GXdk: 971122 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1PgRJZpQqXva-Kp6ogOhraQElJZl0GXdk/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 1655, Folder Title/Record ID 9707985, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"58","1998-02-02","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 2, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-02-telcon-50.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","236-239","361-365","361-364","229","9:07; 9:31-9:51 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call; appendix lists President Yeltsin as a participant. pp. 6-7, 16 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-008-008-2018.pdf>","","","1mGa3d3xnEIbCrsJNqsQPjAWifdli0Xar: 980202 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1mGa3d3xnEIbCrsJNqsQPjAWifdli0Xar/view>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9800756, Original OA/ID 2014, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"59","1998-02-23","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, February 23, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-02-23-telcon-51.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","253-256","366-370","366-369","247","","","","1j7AvpVjmjdRTEhJ4Al4KvPD0ZMiqDVwj: 980223 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1j7AvpVjmjdRTEhJ4Al4KvPD0ZMiqDVwj/view>","","1998-02-24 (+1 days) Recommended calls to senators after Clinton spoke with Blair, Yeltsin, and Chirac on Iraq <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/11/4847/40484711/content/presidential-libraries/clinton/foia/2006/2006-1363-F-Seg-1/2006-1363-F-Seg-1-PDF/Box_11/42-t-26457815-20061363F-Seg1-011-001-2016.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2018, Folder Title/Record ID 9801337, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"60","1998-04-06","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, April 6, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-04-06-telcon-52.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","274-278","371-376","371-375","260","","","","1BCpDN6EIDJyq188YS46cjJgYs2kyzNui: 980406 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1BCpDN6EIDJyq188YS46cjJgYs2kyzNui/view>; C09000007: POTUS-Yeltsin Memcon w/Attachment(s) (Strobe FOIA packet includes an attached copy of the April 6, 1998 telcon after the May 17 memcon; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000007/C09000007.pdf>","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2027, Folder Title/Record ID 9802448, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source."
"61","1998-05-12","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, May 12, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-12-telcon-53.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","286-290","377-382","377-381","280","10:45; 11:01-11:27 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 71-72 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-003-2018.pdf>","","","1j3wB3sjgDr43yH8nbu9W4eX35XNb5vTo: 980512 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1j3wB3sjgDr43yH8nbu9W4eX35XNb5vTo/view>; C09000006: Memorandum of Conversation between President Clinton and the President of Russia Boris Yeltsin on 5/12/1998 (Strobe FOIA cable copy of the May 12, 1998 Clinton-Yeltsin call; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000006/C09000006.pdf>","1998-05-17 (+5 days) POTUS-Yeltsin Memcon w/Attachment(s) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000007/C09000007.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, OA/Box Number 2036, Folder Title/Record ID 9803457, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"62","1998-05-17","Memcon","counted","8","Meeting with President Boris Yeltsin of Russia, May 17, 1998, Birmingham, England","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-17-memcon-54.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","312-319","383-391","383-390","311","","1998-05-17 (same day) Remarks and an Exchange With Reporters in Birmingham, United Kingdom [pp. 780-783] <https://www.govinfo.gov/content/pkg/PPP-1998-book1/pdf/PPP-1998-book1-doc-pg780.pdf>","","1IkQrGGfVtGl1fkXMaHmkwjSnmcpTyA7S: 980517 Clinton and Yeltsin in Birmingham memconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1IkQrGGfVtGl1fkXMaHmkwjSnmcpTyA7S/view>; C09000007: POTUS-Yeltsin Memcon w/Attachment(s) (Strobe FOIA informal copy of the May 17, 1998 Birmingham memcon on pages 1-13; duplicate source copy, not counted again.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000007/C09000007.pdf>","1998-05-17 (same day) POTUS-Yeltsin Memcon w/Attachment(s) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000007/C09000007.pdf>; 1998-05-18 (+1 days) May 18, 1998 Note From Strobe Talbott To Leon Fuerth <https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000051/C09000051.pdf>; 1998-05-20 (+3 days) MEMORANDUM OF CONVERSATION BETWEEN PREISDENT CLINTON AND THE PRESIDENT OF RUSSIA BORIS YELTSIN ON 5/12/1998, S/S#9808780 w/Attached Cover Sheet <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000006/C09000006.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9803752, Original OA/ID 2039, Mandatory Declassification Review 2014-0999-M, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"63","1998-05-21","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, May 21, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-21-telcon-55.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","301-303","392-395","392-394","295","10:25; 10:41-10:52 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin; appendix lists participants. pp. 11, 20 <https://s3.amazonaws.com/NARAprodstorage/opastorage/live/88/3681/17368188/content/presidential-libraries/clinton/foia/2010-0083-F/2010-0083-F-PDF/Box_002/42-t-7262157-20100083F-002-006-2015.pdf>","1998-05-21 (same day) Message to the Congress Reporting Certifications Required by the Ratification Resolution for the Protocols of Accession to NATO for Poland, Hungary, and the Czech Republic [p. 821] <https://www.govinfo.gov/content/pkg/PPP-1998-book1/pdf/PPP-1998-book1-doc-pg821.pdf>; 1998-05-21 (same day) Remarks on Senate Ratification of the Protocols of Accession to NATO for Poland, Hungary, and the Czech Republic [pp. 817-819] <https://www.govinfo.gov/content/pkg/PPP-1998-book1/pdf/PPP-1998-book1-doc-pg817-2.pdf>","","1_cus2DmP8sCA7HtsHoGspBGaKG5MvjMI: 980521 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1_cus2DmP8sCA7HtsHoGspBGaKG5MvjMI/view>","1998-05-20 (-1 days) MEMORANDUM OF CONVERSATION BETWEEN PREISDENT CLINTON AND THE PRESIDENT OF RUSSIA BORIS YELTSIN ON 5/12/1998, S/S#9808780 w/Attached Cover Sheet <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000006/C09000006.pdf>; 1998-05-18 (-3 days) May 18, 1998 Note From Strobe Talbott To Leon Fuerth <https://foia.state.gov/DOCUMENTS/FOIA_L_Apr2023/FL-2017-13804/DOC_0C09000051/C09000051.pdf>; 1998-05-17 (-4 days) POTUS-Yeltsin Memcon w/Attachment(s) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000007/C09000007.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2038, Folder Title/Record ID 9803714, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review linked Public Papers rows for editorial-note framing around the contact. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"64","1998-05-28","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, May 28, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-05-28-telcon-56.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","329-332","396-400","396-399","322","11:53-12:14 The President talked on a conference call with Boris N. Yeltsin; appendix lists participants. pp. 46, 53 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-004-2018.pdf>","","","1F2aVY9zTrKysoGW-6-bn5tGdsTGDQ4y5: 980528 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1F2aVY9zTrKysoGW-6-bn5tGdsTGDQ4y5/view>; C09000028: Transmittal Memorandum of Telephone Conversation with Russian President Boris Yeltsin w/Attachment(s) (Strobe FOIA packet; actual May 28, 1998 telcon is pages 2-5, with transmittal excluded.) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2025/FL-2017-13804/DOC_0C09000028/C09000028.pdf>","1998-05-31 (+3 days) PRESIDENT'S MAY 17 MEETING WITH YELSTIN IN BIRMINGHAM (S/S 9809343) <https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000005/C09000005.pdf>","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2039, Folder Title/Record ID 9803875, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"65","1998-06-15","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, June 15, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-15-telcon-57.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","342-346","401-406","401-405","336","1:21-1:57 The President talked on a conference call with Boris N. Yeltsin; appendix lists participants. pp. 101, 108 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-005-2018.pdf>","","","1hhBx6lIoQXXnyXsHoZxDo7oYNvYHbKsw: 980615 Clinton and Yeltsin telconpdf.pdf (Google Drive search match) <https://drive.google.com/file/d/1hhBx6lIoQXXnyXsHoZxDo7oYNvYHbKsw/view>","","1998-06-15 (same day) Background and talking points for President's telephone call to Yeltsin on Kosovo [17-23; marker page 1 appended] <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/nara-441675758-yeltsin-kosovo-call-support.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2045, Folder Title/Record ID 9804474, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Treat linked Drive/Strobe files as source-copy or duplicate controls unless the compiler chooses a different authoritative source. Review nearby support/context records only after final document selection."
"66","1998-06-16","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 16, 1998, White House","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-06-16-telcon-59.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","359-360","407-409","407-408","352","10:30; 10:52-10:58 The President telephoned Boris N. Yeltsin; the call was not completed. He then talked on a conference call with President Yeltsin. pp. 5-6 <https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/clinton/foia/2013/2013-0549-F/42-t-101784486-20130549F-009-006-2018.pdf>","","","","","1998-06-15 (-1 days) Background and talking points for President's telephone call to Yeltsin on Kosovo [17-23; marker page 1 appended] <https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/nara-441675758-yeltsin-kosovo-call-support.pdf>","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9804476, Original OA/ID 2045, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Use the canonical extracted PDF and page range as the document candidate. Use the Daily Diary reference to confirm timing and call/meeting occurrence. Review nearby support/context records only after final document selection."
