order,date,type,status,actualConversationPages,documentTitle,source,sourcePdfPages,markerPage,localDerivativePdf,sourcePacketUrl,catalogUrl,googleDriveFiles,strobeFiles,frusSourceNote,extractionStatus,compilerAction
"70","1998-07-10","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, July 10, 1998, White House","2015-0782-M-2","371-374","365","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-07-10-telcon-60.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1rfsHmNUqd_CG69JwlpHp3gb91PiFko5A/view","https://foia.state.gov/DOCUMENTS/FOIA_L_Mar2023/FL-2017-13804/DOC_0C09000004/C09000004.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2048, Folder Title/Record ID 9804971, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 371-374 from 2015-0782-M-2 and appended original marker page 365 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 371-374 from 2015-0782-M-2 and appended original marker page 365 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"71","1998-08-14","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, August 14, 1998, White House","2015-0782-M-2","384-389","378","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-14-telcon-61.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1_Dekfu38Q_Gk1IwYiEJqitsrnsvSX9Qh/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2055, Folder Title/Record ID 9805782, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 384-389 from 2015-0782-M-2 and appended original marker page 378 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 384-389 from 2015-0782-M-2 and appended original marker page 378 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"72","1998-08-25","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, August 25, 1998, Martha's Vineyard, Massachusetts","2015-0782-M-2","405-408","399","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-08-25-telcon-62.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1HMmaeeYPmG7x8ueyovnZXgGBpb55xkRz/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2056, Folder Title/Record ID 9805956, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 405-408 from 2015-0782-M-2 and appended original marker page 399 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 405-408 from 2015-0782-M-2 and appended original marker page 399 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"73","1998-09-01","Memcon","pending extent","","Meetings with President Boris Yeltsin of Russia, September 1-2, 1998, Moscow, Russia","2015-0782-M-2","No released September 1-2, 1998 Moscow memcon pages located in 2015-0782-M-2","","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Pending source problem: no derivative PDF generated because no released September 1-2, 1998 Moscow memcon pages were located in the reviewed MDR packet, Google Drive search, Clinton Digital Library trip-book/audio/toast releases, NARA Scout/Catalog searches, or National Security Archive postings.","Pending source problem: no derivative PDF generated because no released September 1-2, 1998 Moscow memcon pages were located in the reviewed MDR packet, Google Drive search, Clinton Digital Library trip-book/audio/toast releases, NARA Scout/Catalog searches, or National Security Archive postings."
"74","1998-09-12","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","2015-0782-M-2","422-425","415","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1zL_1vQEJbvq4SWhIAqKpjAa3J2VR_AxW/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2058, Folder Title/Record ID 9806300, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 422-425 from 2015-0782-M-2 and appended original marker page 415 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 422-425 from 2015-0782-M-2 and appended original marker page 415 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"75","1998-10-05","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","2016-0620-M","3-5","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/dac856cd6bbd10b93c2eb815862bce44.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 100503, Clinton Digital Library item 2016-0620-M, Declassified Documents Concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 3-5 from 2016-0620-M; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 3-5 from 2016-0620-M; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"76","1998-12-30","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","clinton-item-119190","1-5","","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/1ec29c3214c0ccb6c6ed30fd7e5b06af.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Telcons - Memoranda of Telephone Conversation, Clinton Digital Library item 119190, Clinton Digital Library item clinton-item-119190, Memorandum of Telephone Conversation with Russian President Yeltsin.","Potential FRUS document: extracted actual telcon pages 1-5 from clinton-item-119190; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 1-5 from clinton-item-119190; no original marker/provenance page was identified in the source PDF. Surrounding administrative material and duplicate copies excluded."
"77","1999-02-08","Memcon","pending extent","","Meeting with President Boris Yeltsin of Russia, February 8, 1999, Amman, Jordan","2015-0782-M-2","No released February 8, 1999 Amman memcon pages located in 2015-0782-M-2","","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Pending source problem: no derivative PDF generated because no released February 8, 1999 Amman memcon pages were located; public White House reporting confirms only a brief interaction, not an available conversation record.","Pending source problem: no derivative PDF generated because no released February 8, 1999 Amman memcon pages were located; public White House reporting confirms only a brief interaction, not an available conversation record."
"78","1999-03-24","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","2015-0782-M-2","432-436","431","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902107, Original OA/ID 2719, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Potential FRUS document: extracted actual telcon pages 432-436 from 2015-0782-M-2 and appended original marker page 431 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 432-436 from 2015-0782-M-2 and appended original marker page 431 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"79","1999-04-19","Telcon","counted","6","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","2015-0782-M-2","438-443","437","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902901, Original OA/ID 2724, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 438-443 from 2015-0782-M-2 and appended original marker page 437 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 438-443 from 2015-0782-M-2 and appended original marker page 437 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"80","1999-04-25","Telcon","counted","12","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","2015-0782-M-2","445-456","444","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1YBmo26tprmItE4dS_dXX5Ic6QShZpn4h/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903106, Original OA/ID 2725, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Potential FRUS document: extracted actual telcon pages 445-456 from 2015-0782-M-2 and appended original marker page 444 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 445-456 from 2015-0782-M-2 and appended original marker page 444 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"81","1999-05-02","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House","2015-0782-M-2","470-473","469","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1ix1Ii-rAWelKeQi7jC6_PI4qRZlMinle/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903364, Original OA/ID 2727, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Potential FRUS document: extracted actual telcon pages 470-473 from 2015-0782-M-2 and appended original marker page 469 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 470-473 from 2015-0782-M-2 and appended original marker page 469 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"82","1999-06-07","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House","2015-0782-M-2","479-480","478","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904358, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Potential FRUS document: extracted actual telcon pages 479-480 from 2015-0782-M-2 and appended original marker page 478 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 479-480 from 2015-0782-M-2 and appended original marker page 478 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"83","1999-06-08","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","2015-0782-M-2","482-484","481","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904397, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Potential FRUS document: extracted actual telcon pages 482-484 from 2015-0782-M-2 and appended original marker page 481 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 482-484 from 2015-0782-M-2 and appended original marker page 481 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"84","1999-06-10","Telcon","counted","2","Telephone call with President Boris Yeltsin of Russia, June 10, 1999, White House","2015-0782-M-2","488-489","487","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-10-telcon-74.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904501, Original OA/ID 2734, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo.","Potential FRUS document: extracted actual telcon pages 488-489 from 2015-0782-M-2 and appended original marker page 487 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 488-489 from 2015-0782-M-2 and appended original marker page 487 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"85","1999-06-13","Telcon","counted","7","Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House","2015-0782-M-2","531-537","530","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1wt8YvzsjTSpf3H4JMgUXJMU-hMk0bA74/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905271, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999.","Potential FRUS document: extracted actual telcon pages 531-537 from 2015-0782-M-2 and appended original marker page 530 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 531-537 from 2015-0782-M-2 and appended original marker page 530 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"86","1999-06-14","Telcon","counted","4","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","2015-0782-M-2","521-524","519","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/17_TAwdKBILpcBjzOK6fFzttzMxXLHc5P/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905128, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999.","Potential FRUS document: extracted actual telcon pages 521-524 from 2015-0782-M-2 and appended original marker page 519 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 521-524 from 2015-0782-M-2 and appended original marker page 519 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"87","1999-06-20","Memcon","counted","9","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","2015-0782-M-2","497-505","491","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1sQzV-Sy-8geFSdknDtdp9xlzQCBI3QhN/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2736, Folder Title/Record ID 9904842, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 497-505 from 2015-0782-M-2 and appended original marker page 491 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 497-505 from 2015-0782-M-2 and appended original marker page 491 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"88","1999-09-08","Telcon","counted","5","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","2015-0782-M-2","548-552","541","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1wxPSyI3jA335DIh43d6VJ4BLULbLKIPR/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2748, Folder Title/Record ID 9906603, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 548-552 from 2015-0782-M-2 and appended original marker page 541 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 548-552 from 2015-0782-M-2 and appended original marker page 541 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"89","1999-11-19","Memcon","counted","7","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","2015-0782-M-2","560-566","559","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1MgSg0Iph1k9aGeSZqpsXiYJd0eJP9crE/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9908997, Original OA/ID 2764, Mandatory Declassification Review 2014-0974-M, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual memcon pages 560-566 from 2015-0782-M-2 and appended original marker page 559 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual memcon pages 560-566 from 2015-0782-M-2 and appended original marker page 559 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"90","1999-12-31","Telcon","counted","3","Telephone call with President Boris Yeltsin of Russia, December 31, 1999, White House","2015-0782-M-2","582-584","576","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-12-31-telcon-80.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","https://www.clintonlibrary.gov/research/archives/finding-aids/declassified-documents-concerning-russian-president-boris-yeltsin-0","https://drive.google.com/file/d/1ruK9pfEPeuBWuqAJD8TLhrQUEqIirk1v/view","","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9909338, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin.","Potential FRUS document: extracted actual telcon pages 582-584 from 2015-0782-M-2 and appended original marker page 576 as the provenance sheet. Surrounding administrative material and duplicate copies excluded.","Potential FRUS document: extracted actual telcon pages 582-584 from 2015-0782-M-2 and appended original marker page 576 as the provenance sheet. Surrounding administrative material and duplicate copies excluded."
"91","2000-06-05","Memcon","pending extent","","Meeting with former President Boris Yeltsin of Russia, June 5, 2000, Moscow, Russia","Clinton Library, Meetings and Telephone Calls with Foreign Leaders","Leader chronology lead only; no released memcon PDF located","","","https://www.clintonlibrary.gov/sites/default/files/documents/clinton-foreign-meetings.pdf","https://www.clintonlibrary.gov/research/meetings-and-telephone-calls-foreign-leaders","","","Source: William J. Clinton Presidential Library, Meetings and Telephone Calls with Foreign Leaders, master chronology.","Pending source problem: no derivative PDF generated because no released June 5, 2000 former President Yeltsin memcon pages were located in the leader chronology follow-up, Google Drive, Clinton Digital Library trip release, NARA Scout/Catalog, or National Security Archive searches.","Pending source problem: no derivative PDF generated because no released June 5, 2000 former President Yeltsin memcon pages were located in the leader chronology follow-up, Google Drive, Clinton Digital Library trip release, NARA Scout/Catalog, or National Security Archive searches."
