sequence,date,type,status,selectionTier,selectionScore,actualConversationPages,packetPages,title,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,annotationTreatment,rationale,suggestedTreatment,decisionRemaining,sourcePdfPages,pdfUrl,sourcePacketUrl,frusSourceNote
"81","1999-05-02","Telcon","counted","Tier 3 - supporting candidate","45","4","466-470","Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House","Kosovo / Balkans (5)","Yeltsin (16); Chernomyrdin (8); Gore (5); Milosevic (1)","1","1","1","1","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control; support/context leads","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","470-473","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903364, Original OA/ID 2727, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"82","1999-06-07","Telcon","counted","Tier 4 - concise/confirmatory","24","2","471-473","Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House","Kosovo / Balkans (2)","Yeltsin (9); Ivanov (4); Milosevic (2); Chernomyrdin (1); Gore (1); Talbott (1)","1","0","0","0","Standard annotation review","Standard annotation review; PDD timing check","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","479-480","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904358, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"83","1999-06-08","Telcon","counted","Tier 3 - supporting candidate","45","3","474-477","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","Kosovo / Balkans (9); NATO / European Security (1)","Yeltsin (7); Chernomyrdin (5); Ivanov (5); Milosevic (5); UN (4); NATO (1)","1","2","0","0","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","482-484","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904397, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"84","1999-06-10","Telcon","counted","Tier 4 - concise/confirmatory","20","2","478-480","Telephone call with President Boris Yeltsin of Russia, June 10, 1999, White House","Economic Reform / Assistance (1); Kosovo / Balkans (1)","Yeltsin (8); Chernomyrdin (1); UN (1)","1","2","0","0","Light annotation check","Light annotation check; PDD timing check; public framing available","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","488-489","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-10-telcon-74.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904501, Original OA/ID 2734, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"85","1999-06-13","Telcon","counted","Tier 3 - supporting candidate","60","7","481-488","Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House","Kosovo / Balkans (24)","Yeltsin (24); UN (4); Albright (1); Berger (1); Gore (1); Ivanov (1)","0","0","1","0","Heavy annotation review","Heavy annotation review; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","531-537","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905271, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999."
"86","1999-06-14","Telcon","counted","Tier 4 - concise/confirmatory","34","4","489-493","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","Kosovo / Balkans (9); NATO / European Security (1)","Yeltsin (15); Albright (1); Gore (1); Ivanov (1)","1","0","1","0","Standard annotation review","Standard annotation review; PDD timing check; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","521-524","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905128, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999."
"87","1999-06-20","Memcon","counted","Tier 1 - likely core","142","9","494-503","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","Arms Control / Nonproliferation (38); Kosovo / Balkans (13); Economic Reform / Assistance (7)","Yeltsin (41); Ivanov (10); UN (6); Gore (5); Albright (3); Talbott (3)","1","5","1","0","Heavy annotation review","Heavy annotation review; PDD timing check; public framing available; source-copy control","Read first; strong candidate for full document treatment unless displaced by final thematic balance.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","497-505","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2736, Folder Title/Record ID 9904842, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"88","1999-09-08","Telcon","counted","Tier 3 - supporting candidate","45","5","504-509","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","Arms Control / Nonproliferation (19); Chechnya / Caucasus (3); Russian Politics / Elections (3)","Yeltsin (12); Ivanov (2); Albright (1); Gore (1); Talbott (1); UN (1)","0","0","1","0","Heavy annotation review","Heavy annotation review; source-copy control","Useful support or context; consider excerpt, editorial-note use, or selection if the issue line needs continuity.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","548-552","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2748, Folder Title/Record ID 9906603, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"89","1999-11-19","Memcon","counted","Tier 2 - strong candidate","74","7","510-517","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","Arms Control / Nonproliferation (12); Chechnya / Caucasus (8); Ukraine / Nuclear Security (7)","Yeltsin (28); Ivanov (8); Albright (3); Berger (2)","0","1","1","0","Heavy annotation review","Heavy annotation review; public framing available; source-copy control","Strong candidate; compare against adjacent documents in same issue cluster.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","560-566","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9908997, Original OA/ID 2764, Mandatory Declassification Review 2014-0974-M, Declassified documents concerning Russian President Boris Yeltsin."
"90","1999-12-31","Telcon","counted","Tier 4 - concise/confirmatory","24","3","518-521","Telephone call with President Boris Yeltsin of Russia, December 31, 1999, White House","Russian Politics / Elections (5); Arms Control / Nonproliferation (1); Iraq / Middle East (1)","Yeltsin (8)","1","2","1","0","Standard annotation review","Standard annotation review; PDD timing check; public framing available; source-copy control","Likely confirmatory; keep available for chronology, annotation, or footnote support.","Compiler selection decision: include, excerpt/use in note, or retain as background after final thematic balancing.","582-584","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-12-31-telcon-80.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9909338, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"91","2000-06-05","Memcon","pending","Hard source gap","","","","Meeting with former President Boris Yeltsin of Russia, June 5, 2000, Moscow, Russia","","","1","4","0","0","Hard source follow-up","PDD corroborates occurrence; Public Papers/context hook exists; Leader chronology lead only","Do not select as a document until actual conversation pages are found; use the hard-gap packet for follow-up.","Source decision: locate released actual conversation pages before any document selection.","Leader chronology lead only; no released memcon PDF located","","https://www.clintonlibrary.gov/sites/default/files/documents/clinton-foreign-meetings.pdf","Source: William J. Clinton Presidential Library, Meetings and Telephone Calls with Foreign Leaders, master chronology."
