sequence,date,type,readinessBucket,actualConversationPages,packetPages,title,extractionStatus,provenanceStatus,sourceNoteStatus,sourceNoteFlags,facePageStatus,facePageMissingFields,annotationTreatment,selectionTier,selectionScore,dominantIssues,authorityChecks,pddReferences,publicPapers,sourceCopyControls,supportLeads,hardGapClass,nextAction,sourcePdfPages,derivativePdfUrl,sourcePacketUrl,frusSourceNote
"74","1998-09-12","Telcon","Ready to read; source-note review","4","427-431","Telephone call with President Boris Yeltsin of Russia, September 12, 1998, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 415","Needs source-note review","classification marking; declassify-on line not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","50","Economic Reform / Assistance (8); Russian Politics / Elections (4); Iraq / Middle East (1)","Primakov (15); Yeltsin (10); Gore (2); Ivanov (2); Albright (1); Berger (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; declassify-on line not parsed | face-page gaps: classification marking).","422-425","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-09-12-telcon-64.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2058, Folder Title/Record ID 9806300, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"75","1998-10-05","Telcon","Ready for selection reading","3","432-434","Telephone call with President Boris Yeltsin of Russia, October 5, 1998, White House","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Parsed face-page fields available","","Parsed","","Standard annotation review","Tier 4 - concise/confirmatory","43","Kosovo / Balkans (22); NATO / European Security (1)","Yeltsin (8); Milosevic (5); Ivanov (1); NATO (1); UN (1)","1","0","0","0","","Keep in the chronological packet for selection comparison, annotation support, or contextual use.","3-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-10-05-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/dac856cd6bbd10b93c2eb815862bce44.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records: NSC Cable, Email, and Records Management System, Clinton Digital Library item 100503, Clinton Digital Library item 2016-0620-M, Declassified Documents Concerning Russian President Boris Yeltsin."
"76","1998-12-30","Telcon","Ready to read; source-note review","5","435-439","Telephone call with President Boris Yeltsin of Russia, December 30, 1998, White House","PDF/provenance mechanically valid","No separate marker page recorded for this derivative","Needs source-note review","classification marking; declassify-on line not parsed","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","62","Economic Reform / Assistance (15); Arms Control / Nonproliferation (9); Iraq / Middle East (8)","Yeltsin (7); IMF (6); Primakov (6); NATO (5); Gore (2); UN (2)","0","0","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; declassify-on line not parsed | face-page gaps: classification marking).","1-5","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1998-12-30-clinton-yeltsin-telcon-actual-pages.pdf","https://clinton.presidentiallibraries.us/files/original/1ec29c3214c0ccb6c6ed30fd7e5b06af.pdf","Source: William J. Clinton Presidential Library, Telcons - Memoranda of Telephone Conversation, Clinton Digital Library item 119190, Clinton Digital Library item clinton-item-119190, Memorandum of Telephone Conversation with Russian President Yeltsin."
"77","1999-02-08","Memcon","Hard source gap","","","Meeting with President Boris Yeltsin of Russia, February 8, 1999, Amman, Jordan","Pending source text","No derivative PDF until actual conversation pages are found","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","","0","0","0","0","No released conversation pages located","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","No released February 8, 1999 Amman memcon pages located in 2015-0782-M-2","","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"78","1999-03-24","Telcon","Ready to read; source-note review","5","440-445","Telephone call with President Boris Yeltsin of Russia, March 24, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 431","Needs source-note review","classification reason not parsed; declassify-on line not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","57","Kosovo / Balkans (18); Russian Politics / Elections (4); Ukraine / Nuclear Security (3)","Yeltsin (10); Milosevic (9); Ivanov (1); NATO (1); Primakov (1)","1","3","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification reason not parsed; declassify-on line not parsed).","432-436","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-03-24-telcon-68.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902107, Original OA/ID 2719, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"79","1999-04-19","Telcon","Ready to read; source-note review","6","446-452","Telephone call with President Boris Yeltsin of Russia, April 19, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 437","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","90","Kosovo / Balkans (33); NATO / European Security (11); Economic Reform / Assistance (2)","NATO (11); Milosevic (10); Yeltsin (10); Chernomyrdin (6); Ivanov (2); Albright (1)","1","0","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","438-443","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-19-telcon-69.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9902901, Original OA/ID 2724, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"80","1999-04-25","Telcon","Ready for selection reading","12","453-465","Telephone call with President Boris Yeltsin of Russia, April 25, 1999, Washington, D.C.","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 444","Parsed face-page fields available","","Parsed","","Heavy annotation review","Tier 1 - likely core","215","Kosovo / Balkans (48); NATO / European Security (12); Economic Reform / Assistance (7)","Yeltsin (34); Chernomyrdin (32); Gore (29); Milosevic (27); NATO (12); Talbott (6)","1","0","1","1","","Complete heavy annotation review, then make the include/excerpt/background decision.","445-456","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-04-25-telcon-70.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903106, Original OA/ID 2725, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"81","1999-05-02","Telcon","Ready to read; source-note review","4","466-470","Telephone call with President Boris Yeltsin of Russia, May 2, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 469","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 3 - supporting candidate","45","Kosovo / Balkans (5)","Yeltsin (16); Chernomyrdin (8); Gore (5); Milosevic (1)","1","1","1","1","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","470-473","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-05-02-telcon-71.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9903364, Original OA/ID 2727, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"82","1999-06-07","Telcon","Ready to read; source-note review","2","471-473","Telephone call with President Boris Yeltsin of Russia, June 7, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 478","Needs source-note review","classification marking","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","24","Kosovo / Balkans (2)","Yeltsin (9); Ivanov (4); Milosevic (2); Chernomyrdin (1); Gore (1); Talbott (1)","1","0","0","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","479-480","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-07-telcon-72.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904358, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"83","1999-06-08","Telcon","Ready for selection reading","3","474-477","Telephone call with President Boris Yeltsin of Russia, June 8, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 481","Parsed face-page fields available","","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","45","Kosovo / Balkans (9); NATO / European Security (1)","Yeltsin (7); Chernomyrdin (5); Ivanov (5); Milosevic (5); UN (4); NATO (1)","1","2","0","0","","Complete heavy annotation review, then make the include/excerpt/background decision.","482-484","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-08-telcon-73.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904397, Original OA/ID 2733, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"84","1999-06-10","Telcon","Ready for selection reading","2","478-480","Telephone call with President Boris Yeltsin of Russia, June 10, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 487","Parsed face-page fields available","","Parsed","","Light annotation check","Tier 4 - concise/confirmatory","20","Economic Reform / Assistance (1); Kosovo / Balkans (1)","Yeltsin (8); Chernomyrdin (1); UN (1)","1","2","0","0","","Keep in the chronological packet for selection comparison, annotation support, or contextual use.","488-489","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-10-telcon-74.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9904501, Original OA/ID 2734, Mandatory Declassification Review 2014-0546-M, Declassified documents concerning Russian President Boris Yeltsin and Kosovo."
"85","1999-06-13","Telcon","Ready to read; source-note review","7","481-488","Telephone call with President Boris Yeltsin of Russia, June 13, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 530","Needs source-note review","classified-by line not parsed","Parsed","","Heavy annotation review","Tier 3 - supporting candidate","60","Kosovo / Balkans (24)","Yeltsin (24); UN (4); Albright (1); Berger (1); Gore (1); Ivanov (1)","0","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classified-by line not parsed).","531-537","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-13-telcon-75.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905271, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999."
"86","1999-06-14","Telcon","Ready to read; source-note review","4","489-493","Telephone call with President Boris Yeltsin of Russia, June 14, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 519","Needs source-note review","classification marking; classified-by line not parsed","Review fields","classification marking","Standard annotation review","Tier 4 - concise/confirmatory","34","Kosovo / Balkans (9); NATO / European Security (1)","Yeltsin (15); Albright (1); Gore (1); Ivanov (1)","1","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; classified-by line not parsed | face-page gaps: classification marking).","521-524","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-14-telcon-76.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin], OA/Box Number 2739, Folder Title/Record ID 9905128, Freedom of Information Act request 2006-1185-F, Records on Telephone Calls between William J. Clinton and Boris Yeltsin, June 13 and 14, 1999."
"87","1999-06-20","Memcon","Ready to read; source-note review","9","494-503","Meeting with President Boris Yeltsin of Russia, June 20, 1999, Cologne, Germany","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 491","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 1 - likely core","142","Arms Control / Nonproliferation (38); Kosovo / Balkans (13); Economic Reform / Assistance (7)","Yeltsin (41); Ivanov (10); UN (6); Gore (5); Albright (3); Talbott (3)","1","5","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","497-505","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-06-20-memcon-77.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2736, Folder Title/Record ID 9904842, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"88","1999-09-08","Telcon","Ready to read; source-note review","5","504-509","Telephone call with President Boris Yeltsin of Russia, September 8, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 541","Needs source-note review","participants; notetaker; interpreter","Review fields","participants; notetaker; interpreter","Heavy annotation review","Tier 3 - supporting candidate","45","Arms Control / Nonproliferation (19); Chechnya / Caucasus (3); Russian Politics / Elections (3)","Yeltsin (12); Ivanov (2); Albright (1); Gore (1); Talbott (1); UN (1)","0","0","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: participants; notetaker; interpreter | face-page gaps: participants; notetaker; interpreter).","548-552","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-09-08-telcon-78.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], OA/Box Number 2748, Folder Title/Record ID 9906603, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"89","1999-11-19","Memcon","Ready to read; source-note review","7","510-517","Meeting with President Boris Yeltsin of Russia, November 19, 1999, Istanbul, Turkey","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 559","Needs source-note review","classification marking","Review fields","classification marking","Heavy annotation review","Tier 2 - strong candidate","74","Arms Control / Nonproliferation (12); Chechnya / Caucasus (8); Ukraine / Nuclear Security (7)","Yeltsin (28); Ivanov (8); Albright (3); Berger (2)","0","1","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking | face-page gaps: classification marking).","560-566","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-11-18-memcon-79.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, Document ID 9908997, Original OA/ID 2764, Mandatory Declassification Review 2014-0974-M, Declassified documents concerning Russian President Boris Yeltsin."
"90","1999-12-31","Telcon","Ready to read; source-note review","3","518-521","Telephone call with President Boris Yeltsin of Russia, December 31, 1999, White House","PDF/provenance mechanically valid","Marker/provenance sheet appended from source page 576","Needs source-note review","classification marking; interpreter","Review fields","classification marking; interpreter","Standard annotation review","Tier 4 - concise/confirmatory","24","Russian Politics / Elections (5); Arms Control / Nonproliferation (1); Iraq / Middle East (1)","Yeltsin (8)","1","2","1","0","","Verify the first page and source-note addenda against the derivative PDF (source-note flags: classification marking; interpreter | face-page gaps: classification marking; interpreter).","582-584","https://therealjameswilson.github.io/Clinton-Russia-High-Level/public/documents/1999-12-31-telcon-80.pdf","https://www.clintonlibrary.gov/sites/default/files/finding_aids_a_z/2026-01/2015-0782-M-2.pdf","Source: William J. Clinton Presidential Library, Clinton Presidential Records, Records of the National Security Council Records Management Office (Clinton Administration), NAID 7388808, Presidential Records Series (PRS) Files, NAID 7585721, NSC Records Management, [Yeltsin and Telcons], Folder Title/Record ID 9909338, Mandatory Declassification Review 2015-0782-M-2, Declassified documents concerning Russian President Boris Yeltsin."
"91","2000-06-05","Memcon","Hard source gap","","","Meeting with former President Boris Yeltsin of Russia, June 5, 2000, Moscow, Russia","Pending source text","No derivative PDF until actual conversation pages are found","Pending source text","","Pending source text","","Hard source follow-up","Hard source gap","","","","1","4","0","0","Leader chronology lead only","Submit targeted archival/MDR follow-up; keep uncounted and do not create a derivative PDF until actual conversation pages are located.","Leader chronology lead only; no released memcon PDF located","","https://www.clintonlibrary.gov/sites/default/files/documents/clinton-foreign-meetings.pdf","Source: William J. Clinton Presidential Library, Meetings and Telephone Calls with Foreign Leaders, master chronology."
